authorName,createTime,introduce,playTimes,songSheet,tags
叶洛洛,2018-03-15,收录了慕寒的原创歌曲，希望大家喜欢！,235316,远山长慕，寒鸦声渡 • 慕寒原创,"国语,古风,流行"
Extraordinary,2018-03-16,大家好啊，你有看一月霸权的《紫罗兰永恒花园》吗？<br><b,404047,日系女声：甜度100%的动漫主题曲,"日语,甜蜜"
我的歌单就是这么好,2017-09-04,灵魂乐（Soul&#160;Music），是1950年代发源,523567,直击心灵的灵魂乐：70位歌手代表作,"英语,R&B"
谈谈心恋恋爱 *,2018-03-19,本张歌单精选60位韩国女歌手，每首我自己听过了 不好听的没放,471374,韩国90后女歌手精选,"韩语,流行,治愈"
焦糖玛奇朵,2018-01-29,战争也许是世界上最冰冷无情的词语，因为它的出现总是伴随着生灵,164639,在战火硝烟中诞生的古典音乐,古典
灵儿响叮当,2017-05-24,AFI&#160;100&#160;Years...100&,238513,美国电影协会评选100首电影金曲,"英语,影视"
May〃,2018-03-16,相信remix大家应该很熟悉，因为remix很吸引人并且很带,591725,70首英文冷门remix,"英语,电子"
中午不睡觉,2017-08-25,其实香港除了大众所熟知的Beyond、达明一派、温拿、草蜢、,556109,听小众港乐应该知道的65支香港乐队,粤语
褐,2018-03-20,成立于2011年1月1日的1LLIONAIRE RECORD,120939,韩国地下嘻哈实力厂牌1LLIONAIRE,"韩语,嘻哈"
钰莞夭夭,2018-03-12,“引曲水以流觞，兴古风重悠扬。”<br><br>『流觞曲水』,323556,流觞曲水原创音乐团队古风作品,"流行,古风"
达人周末,2018-06-01,【达人周末】是一档集合了站内的歌单达人们，各自为所有站内听众,2971374,达人周末 | 高考完一定要去KTV唱的歌,"流行,KTV热歌,宣泄"
秋山陇月幸,2017-12-29,致所有努力奋斗的姐妹！作为新时代的女性，独立是我们的标签，绝,165808,女人唔易做！新时代独立女性教科书,"粤语,流行"
           私に闻いて风i,2017-09-29,这一期做一张学习放松的歌单，我希望你们都喜欢，谢谢大家。<b,11185888,每科都考99分！学霸专用的唯美の纯音,轻音乐
默笙,2018-01-29,精选甜蜜华语<br><br>单身人士听了想谈恋爱<br>情侣,1352435,蜜汁撩法 | 单身人士听了想谈恋爱,"国语,甜蜜,流行"
biG橘子,2018-05-22,Synth Pop中的 ″ Synth″，即Synthesi,159215,科技感十足 | 复古合成器流行,"英语,流行"
歌单狂魔,2018-05-23,歌单整理了站内2018年上半年最新发行的，且在站内单曲播放量,4800589,2018上半年欧美新歌 Top 50,"英语,流行"
歌单狂魔,2018-05-23,站内2018年上半年日语最新发行单曲播放数据&#160;TO,839695,2018上半年日语新歌 Top 50,"日语,流行"
